name,code,name_zh
B305,,,,
BEAUTY TEXTILE,BT06,,,
BLACK SEQUIN SEQ,,,,
BONDED BDD,,,,
Beauty Textile 7B73206,,,,
CHUANG YU FENG,CH91,,,
Chuang Yu Feng Shang Guan CY2266,CY2266,,,
Chuang Yu Feng Shang Guan CY2630,CY2630,,,
DAJUN SHOT TAFFETA,ST01,,,
Dutchess Satin ,DS01,,,
EMBROID ORGANZA ,EB01,,,
GOLD LACE ,GDLC,,,
GRID SM ,H283,,,
GUANGZHOU SEQUIN ,GS01,,,
GUANGZHOU YEESHOW,GY01,,,
Huaming PEARL GGT ,HU04,,,
Huaming SATIN Georgette ,HU02,,,
Huaming Stretch Georgette ,HU00,,,
JIN YING VELVET ,JY01,,,
JOHNSON TEXTILE LACE SP042,SP042,,,
JS8026,,,,
L1,,,,
L3,,,,
L4,,,,
L5,,,,
L6,,,,
LACE,K287,,,
LACE,L1,,,
LACE,V371,,,
LONG GUANG MING ,LG01,,,
LONG GUANG MING LG02,LG02,,,
LONGDING D069,D069,,,
Lace ,L2,,,
Long Guang Ming Bu Ye (Grid Mesh),,,,
Long Guang Ming Bu Ye C0652473,,,,
NEOPRENE,NE01,,,
Nylon Taffeta,NT01,,,
Ponti SY65,SY65,,,
SPOT MESH,SPMS,,,
SYA987,,,,
WAN DA TEXTILES,WD01,,,
WAN DA TEXTILES,WD17,,,
WEI DA MESH,WD210,,,
XD (Soft Tulle),,,,
Yan Jing Bu Hang (Dutchess Satin),,,,
Yiwan 8009,YI09,,,
Yiwan 8012,YI12,,,
Yiwan 8022,YI22,,,
Yiwan 8028,YI28,,,
Yiwan 8029,YI29,,,
Yiwan 8038,YI38,,,
Yiwan 8049,YI49,,,
ZAN HE XIU PIN,ZX01,,,
Zhengda Jersey,ZH01,,,
