ColourName,Yiwan 8012,Yiwan 8022,Yiwan 8038,Yiwan 8009,Yiwan 8049,Nylon taffeta,Chuang Yu Feng Shang Guan CY2630,Long Guang Ming Bu Ye C0652473,Yan Jing Bu Hang (Dutchess Satin),XD (Soft Tulle),Long Guang Ming Bu Ye (Grid Mesh),Beauty Textile 7B73206,Ponti SY-006-5 ,Zhengda Jersey ,Chuang Yu Feng Shang Guan CY2266,Huaming Stretch GGT
Black,,,,98,14,120,,,,,13,2,9,22,25,39
Blush,83,32,21,32,27,113,,29,68,,,,,,10,73
Burgundy,91,36,20,44,22,-,16,31,39,34,7,,,21,,31
Burnt Orange,97,28,51,133,,,,,13,,,,,,,
Champagne,8,75,65,64,,153,,,83,,,,,,,52
Charcoal,49,,45,95,,-,29,,66,110,,,16,,,7
Cherry Red,4,1,47,1,1,141,,,33,24,,,17,12,15,11
Cobalt Blue,24,6,18,28,6,147,24,34,36,79,,,,10,24,37
Coral,81,24,62,136,50,133,12,15,96,,,,,55,11,43
Cream,29,22,12,59,21,152,,7,99,,,,,25,2,
Emerald Green,77,59,35,,32,137,20,27,62,76,,,11,33,,40
Fluoro Orange,116,,55,14,64,-,,,51,81,,,,7,4,72
Hot Pink,,,,4,68,115,,,,57,1,,,29,12,35
Ice Blue,,,,11,53,,,,,123,4,,,38,5,69
Ivory,72,41,10,90,13,151,,2,73,,,,,23,,
Lavender,106,89,37,8,56,,10,16,8,114,,,,41,17,15
Lemon,32,8,59,60,31,114,,21,57,,3,,,6,7,55
Light Blue,21,12,24,17,16,129,18,18,97,116,,,,15,,69
Light Pink,25,64,39,12,49,112,3,14,126,,,,2,3,,62
Lilac,52,91,66,24,69,118,7,,130,69,,,,,,41
Magenta,9 & 108,5 / 47,29,16,54,157,13,,114,,,,,,13,
Marine Blue,101,42,17,,43,,22,,,121,,,3,4,22,
Mint,115,54,63,43,58,,8,6,129,,,,,,,
Moss Green,33,84,49,54,42,,,,49,77,,,18,31,18,54
Navy,46,37,40,102,34,132,26,30,26,122,,,10,35,24,61
Off White,12,16,10,91,35,124,,3,80,,,,,23,,74
Orange,59,28,9,23,52,,14,28,35,55,,,,20,9,20
Pale Blue,21,52,58,51,16,,9,18,41,105,,,,,,23
Pale Green,78,62,,48,63,144,,20,21,125,,,,,,
Pale Grey,43,49,8,73,23,149,,,98,,,,,8,,29
Pale Pink,25,64,33,18,7,140,3,14,32,54,,,2,9,,8
Pale Yellow,124,8,59,33,31,,,21,57,,,,,6,7,3
Peach,44,,67,140,30,,,,30,45,,,,,,
Pine,104,71,60,102,60,,,5,67,108,,,,11,21,
Plum,57,,14,111,75,,17,,86,,,,,30,,
Purple,71,,37,113,,158,,,92,36,,,14,,,
Red,36,20,16,1,1,111,15,23,27,24,,,5,12,15,
Taupe,92,43,42,64,25,,,33,54,33,,,19,53,16,
Teal,48,23,22,106,48,,21,,15,103,,,,17,23,
Turquoise,120,,27,56,62,,,,94,124,,,,,,
Watermelon,47,44,46,116,11,,,10,96,,,,,,,
White,,,,89,2,126,,,,,2,,1,13,1,
