Account Name,Sku,Supplier Sku,Product Type,Description,SOH,Allocated,Available
Fame and Partners,10985 - Old Size Grade,,,Imogen - US2/AU6 -black,1,0,1
Fame and Partners,13023 - Old Size Grade,,,Odessa - US8/AU12 -white,1,0,1
Fame and Partners,13299,,,Tempest - US8/AU12 -black,1,0,1
Fame and Partners,17401 - Old Size Grade,,,Odessa - US14/AU18 -white,1,0,1
Fame and Partners,21122 - Old Size Grade,,,Laced Heartline - US10/AU14 -white,1,0,1
Fame and Partners,21465 - Old Size Grade,,,Tempest - US8/AU12 -navy,1,0,1
Fame and Partners,21694 - Old Size Grade,,,Wired Heart - US10/AU14 -black,1,0,1
Fame and Partners,23023 - Old Size Grade,,,Poppy - US2/AU6 -pale-pink,1,0,1
Fame and Partners,23029 - Old Size Grade,,,Poppy - US8/AU12 -pale-pink,1,0,1
Fame and Partners,24145,,,First In Line - US4/AU8 -mint,2,0,2
Fame and Partners,24158,,,First In Line - US10/AU14 -navy,1,0,1
Fame and Partners,24283,,,Daisy - US4/AU8 -beige,1,0,1
Fame and Partners,24287,,,Daisy - US6/AU10 -navy,1,0,1
Fame and Partners,25561,,,Sweet Rebel - US4/AU8 -pale-pink,1,0,1
Fame and Partners,25563,,,Sweet Rebel - US6/AU10 -light-blue,1,0,1
Fame and Partners,25566,,,Sweet Rebel - US6/AU10 -lavender,1,0,1
Fame and Partners,25570,,,Sweet Rebel - US8/AU12 -lavender,2,0,2
Fame and Partners,25964,,,Head Over Heels - US0/AU4 -navy,1,0,1
Fame and Partners,26016- Old size grade,,,Mesh Debutante - US0/AU4 -black,1,0,1
Fame and Partners,25983,,,Head Over Heels - US10/AU14 -light-pink,1,0,1
Fame and Partners,26032-Old Size Guide,,,Solace - US4/AU8 -white,4,0,4
Fame and Partners,15942,,,Tempest - US4/AU8 -burgundy,1,0,1
Fame and Partners,15943 - Old Size Grade,,,Tempest - US6/AU10 -burgundy,1,0,1
Fame and Partners,27248-Old Size Grade,,,Poppy - US6/AU10 -light-pink,1,0,1
Fame and Partners,27600-Old Size Guide,,,Zoe Two Piece - US0/AU4 -white-and-black,1,0,1
Fame and Partners,28835-Old Size Grade,,,Sweet Rebel - US6/AU10 -purple,2,0,2
Fame and Partners,28890,,,Perry - US2/AU6 -nude,1,0,1
Fame and Partners,25081 - Old Size Grade,,,Holly - US10/AU14 -black,3,0,3
Fame and Partners,25085 - Old Size Grade,,,Holly - US12/AU16 -black,2,0,2
Fame and Partners,25093 - Old Size Grade,,,Holly - US16/AU20 -black,1,0,1
Fame and Partners,20947,,,Astrid - US6/AU10 -black,1,0,1
Fame and Partners,26519,,,Astrid - US12/AU16 -burgundy,2,0,2
Fame and Partners,28505-Old Size Grade,,,Moonlight - US0/AU4 -peach,1,0,1
Fame and Partners,28513-Old Size Grade,,,Moonlight - US4/AU8 -peach,1,0,1
Fame and Partners,28517-Old Size Grade,,,Moonlight - US6/AU10 -peach,1,0,1
Fame and Partners,28511-Old Size Grade,,,Moonlight - US4/AU8 -white,1,0,1
Fame and Partners,28515-Old Size Grade,,,Moonlight - US6/AU10 -white,1,0,1
Fame and Partners,29591,,,Daisy - US6/AU10 -pale-pink,1,0,1
Fame and Partners,29691,,,Juli Two Piece - US8/AU12 -white,1,0,1
Fame and Partners,29693,,,Juli Two Piece - US10/AU14 -white,1,0,1
Fame and Partners,29695,,,Juli Two Piece - US12/AU16 -white,1,0,1
Fame and Partners,29859-Old Size Grade,,,Summer Angel - US14/AU18 -ice-blue,1,0,1
Fame and Partners,29910,,,Mirabella - US10/AU14 -white,1,0,1
Fame and Partners,30595-Old Size Grade,,,Rosemary - US8/AU12 -cherry-red,1,0,1
Fame and Partners,31134,,,About You - US12/AU16 -gypsy-queen,1,0,1
Fame and Partners,31256,,,Queen Of Peace - US14/AU18 -black,1,0,1
Fame and Partners,31396,,,Queen Of Peace - US0/AU4 -navy,1,0,1
Fame and Partners,31400,,,Queen Of Peace - US8/AU12 -navy,1,0,1
Fame and Partners,31402,,,Queen Of Peace - US12/AU16 -navy,1,0,1
Fame and Partners,31466-Old Size Guide,,,Firefly - US4/AU8 -forrest-green,1,0,1
Fame and Partners,31564-Old Size Grade,,,Brooke Jumpsuit - US2/AU6 -black,13,0,13
Fame and Partners,31628,,,Midnight Ryder - US4/AU8 -black,1,0,1
Fame and Partners,31739-Old Size Grade,,,Sienna - US2/AU6 -black,2,0,2
Fame and Partners,31740,,,Sienna - US4/AU8 -black,11,0,11
Fame and Partners,31741-Old Size Grade,,,Sienna - US6/AU10 -black,6,0,6
Fame and Partners,31742-Old Size Grade,,,Sienna - US8/AU12 -black,1,0,1
Fame and Partners,31867,,,Astrid - US14/AU18 -red,1,0,1
Fame and Partners,31887-Old Size Grade,,,Paradise Dream - US2/AU6 -ice-blue,1,0,1
Fame and Partners,24284,,,Daisy - US4/AU8 -burgundy,1,0,1
Fame and Partners,24160,,,First In Line - US10/AU14 -black,1,0,1
Fame and Partners,13302 - Old Size Grade,,,Tempest - US10/AU14 -white,3,0,3
Fame and Partners,32431-Old Size Grade,,,Allegra - US2/AU6 -forest-green,1,0,1
Fame and Partners,32434-Old Size Grade,,,Allegra - US6/AU10 -light-pink,1,0,1
Fame and Partners,32435-Old Size Grade,,,Allegra - US6/AU10 -forest-green,1,0,1
